episode,step,x,y
0.00,1.00,35.03,198.71
0.00,2.00,56.73,186.29
0.00,3.00,80.57,178.77
0.00,4.00,98.25,196.45
0.00,5.00,120.91,207.01
0.00,6.00,96.38,202.21
0.00,7.00,121.35,203.45
0.00,8.00,113.80,227.28
0.00,9.00,89.83,220.18
0.00,10.00,101.81,242.12
0.00,11.00,84.14,259.80
0.00,12.00,66.46,277.48
0.00,13.00,88.15,289.91
0.00,14.00,93.62,314.30
0.00,15.00,114.67,300.80
0.00,16.00,99.04,281.28
0.00,17.00,106.80,257.52
0.00,18.00,131.44,253.28
0.00,19.00,106.86,257.81
0.00,20.00,96.02,235.28
0.00,21.00,85.88,212.43
0.00,22.00,110.82,214.21
0.00,23.00,134.89,220.94
0.00,24.00,117.88,239.26
0.00,25.00,130.65,260.76
0.00,26.00,109.24,273.66
0.00,27.00,112.77,248.91
0.00,28.00,134.43,261.40
0.00,29.00,148.34,282.17
0.00,30.00,171.47,291.67
0.00,31.00,151.18,277.07
0.00,32.00,164.73,256.06
0.00,33.00,177.95,234.84
0.00,34.00,158.62,250.70
0.00,35.00,152.36,274.90
0.00,36.00,134.68,292.57
0.00,37.00,152.36,310.25
0.00,38.00,173.59,323.44
0.00,39.00,179.22,299.09
0.00,40.00,196.90,316.76
0.00,41.00,221.72,319.76
0.00,42.00,240.91,335.78
0.00,43.00,241.48,310.78
0.00,44.00,219.24,299.38
0.00,45.00,236.83,281.62
0.00,46.00,234.70,306.52
0.00,47.00,259.62,304.56
0.00,48.00,279.96,290.03
0.00,49.00,303.81,282.52
0.00,50.00,310.54,258.44
0.00,51.00,300.04,281.13
0.00,52.00,319.56,265.50
0.00,53.00,322.09,290.37
0.00,54.00,346.67,294.95
0.00,55.00,328.99,277.27
0.00,56.00,306.09,287.29
0.00,57.00,294.46,309.42
0.00,58.00,319.46,309.17
0.00,59.00,297.83,296.62
0.00,60.00,321.40,304.96
0.00,61.00,333.90,326.61
0.00,62.00,343.90,349.52
0.00,63.00,350.87,373.53
0.00,64.00,370.49,358.04
0.00,65.00,367.77,382.89
0.00,66.00,350.09,400.57
0.00,67.00,373.22,410.05
0.00,68.00,348.67,414.79
0.00,69.00,364.82,433.88
0.00,70.00,346.34,450.72
0.00,71.00,364.02,468.40
0.00,72.00,365.93,493.32
0.00,73.00,378.07,471.46
0.00,74.00,360.39,489.14
0.00,75.00,371.50,466.74
0.00,76.00,350.20,479.84
0.00,77.00,330.35,495.04
0.00,78.00,306.42,487.81
0.00,79.00,324.66,504.90
0.00,80.00,342.34,522.58
0.00,81.00,360.02,540.26
0.00,82.00,366.86,516.22
0.00,83.00,346.60,530.85
0.00,84.00,323.08,522.39
0.00,85.00,348.05,521.26
0.00,86.00,336.83,498.92
0.00,87.00,317.99,515.35
0.00,88.00,329.55,493.18
0.00,89.00,338.61,516.49
0.00,90.00,361.53,506.51
0.00,91.00,364.14,531.37
0.00,92.00,386.89,521.01
0.00,93.00,386.70,546.01
0.00,94.00,382.66,521.33
0.00,95.00,364.96,538.99
0.00,96.00,352.49,517.31
0.00,97.00,374.10,504.73
0.00,98.00,356.42,522.41
0.00,99.00,379.29,532.51
0.00,100.00,393.14,511.70
1.00,1.00,77.38,217.97
1.00,2.00,95.06,200.29
1.00,3.00,78.27,218.82
1.00,4.00,60.96,236.86
1.00,5.00,56.32,261.42
1.00,6.00,81.03,257.63
1.00,7.00,63.35,275.31
1.00,8.00,41.61,287.65
1.00,9.00,44.37,312.50
1.00,10.00,60.19,293.14
1.00,11.00,54.96,317.59
1.00,12.00,51.27,292.86
1.00,13.00,48.53,268.01
1.00,14.00,73.32,264.74
1.00,15.00,87.62,244.24
1.00,16.00,107.41,228.96
1.00,17.00,128.34,242.63
1.00,18.00,150.88,253.44
1.00,19.00,156.89,277.71
1.00,20.00,149.23,301.50
1.00,21.00,131.23,284.15
1.00,22.00,119.37,306.16
1.00,23.00,128.37,329.48
1.00,24.00,122.22,305.25
1.00,25.00,146.11,297.88
