episode,total_reward,DEP,throughput
1.0000,-18126.0762,0.5779,14.0355
2.0000,-7290.6205,0.8119,11.3757
3.0000,-14566.3346,0.6896,8.5316
4.0000,-8298.3040,0.9643,4.4654
5.0000,-16680.8176,0.8926,5.2125
6.0000,-90.3452,0.7457,8.9011
7.0000,-21662.2051,0.7300,4.5162
8.0000,-9002.9401,0.8800,8.1440
9.0000,-18738.5541,0.8117,3.1572
10.0000,-23050.0944,0.5137,8.5212
11.0000,-21681.5653,0.5529,7.6890
12.0000,-20385.5252,0.5487,8.4932
13.0000,-27263.4935,0.4275,8.2070
14.0000,-16783.5589,0.6487,6.1264
15.0000,-10418.3838,0.8233,4.5728
16.0000,-12096.7473,0.7262,8.8838
17.0000,-5855.4024,0.8568,7.9138
18.0000,-10546.9958,0.9465,2.8943
19.0000,-5887.8973,1.0000,3.6972
20.0000,-22089.5818,0.5540,8.0764
21.0000,-11627.5941,0.7845,5.7875
22.0000,-6316.5168,0.8728,5.2808
23.0000,-23614.4088,0.5314,6.0798
24.0000,-15209.2009,0.6911,5.2942
25.0000,-3715.5228,0.9471,4.9286
26.0000,1062.0991,0.9831,9.2708
27.0000,-2383.8969,0.9739,6.0085
28.0000,-8824.2359,0.8162,6.8792
29.0000,-2834.6628,1.0000,4.2404
30.0000,-756.5403,0.9747,7.2769
31.0000,-2009.1530,0.9824,4.9784
32.0000,-10343.0143,1.0000,8.9962
33.0000,-6878.6946,1.0000,4.9886
34.0000,-7801.8734,0.8586,4.1200
35.0000,-1113.5837,1.0000,4.8880
36.0000,-5092.7156,0.9129,5.1885
37.0000,-11949.6357,0.7416,8.2061
38.0000,-2354.5261,0.9558,6.0422
39.0000,-2041.9078,0.9655,4.9778
40.0000,-7855.5510,0.8417,6.3160
41.0000,76.4644,1.0000,4.7133
42.0000,3367.7288,0.9211,6.9980
43.0000,-834.3702,0.9570,8.2501
44.0000,5605.0010,1.0000,5.4222
45.0000,-225.3080,1.0000,8.8343
46.0000,5898.5409,1.0000,6.3540
47.0000,-8186.4683,1.0000,7.1620
48.0000,-10484.0644,1.0000,8.1023
49.0000,-15644.4584,1.0000,9.3756
50.0000,-14272.2220,0.9404,9.5748
51.0000,4972.3673,0.9772,5.1460
52.0000,-16016.2924,0.9027,9.7698
53.0000,-14457.5918,0.9834,10.9281
54.0000,-14799.3204,0.8949,8.8591
55.0000,1156.8667,0.8467,5.5863
56.0000,775.7818,0.8216,6.8104
57.0000,-13886.9025,0.9744,10.6503
58.0000,-15715.2191,0.9830,11.0203
59.0000,-16263.0937,1.0000,11.3020
60.0000,-8273.0668,1.0000,8.7913
61.0000,-3230.4522,0.8942,8.5557
62.0000,-4818.3808,0.8926,7.8709
63.0000,-4684.2916,0.8833,7.4705
64.0000,-813.1440,0.9396,8.8252
